PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,6/16/23,40:20.5,1,1,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.45434,-0.708989,-5.307885,2488.19379,226.335405,01:30,4.88154,2.77334,5.61238,-17.34564,16.39288,15.86871,2.77147,-0.87252,83.00034,-4.013014,-2.492598,0.418056,,,,,,,,,,,,-9.64989,8.85189,-2.32896,50,4.80985,11.65623,-133.48815,-2.20433,-17.16797,32.49231,-16.42578,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,02f81db0-0c86-11ee-86e8-e178d624069f,90.1612,,,9.454,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,40:20.5,2023-06-16T16:40:20.4716518-04:00,2023-06-16T20:40:20.4716518Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,9e05d582-b6b4-433a-a7ba-5545d9c20957,54.88158,-134.67114,16.24616,4.87921,-1.6063,-8.21289,-2.76472,12.28129,-8.58399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,6/16/23,40:31.7,1,2,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.5292,2.366504,-1.406185,2356.534331,83.816284,08:45,4.81254,2.90515,4.66885,-48.86365,-0.33724,-19.75143,2.99023,-0.07666,70.54051,-6.492857,-4.866393,0.501372,,,,,,,,,,,,9.0956,-0.40161,-2.74308,50,5.01016,3.65619,-113.50433,2.86683,11.60672,25.00353,-32.68655,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,09b916e0-0c86-11ee-86e8-e178d624069f,75.17853,,,7.98869,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,40:31.8,2023-06-16T16:40:31.7570022-04:00,2023-06-16T20:40:31.7570022Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,b2a42ef8-c11e-47f0-9ae0-a0942a05cee4,55.82589,-114.78052,12.50177,4.82126,4.53517,-16.34327,-2.91457,3.06378,5.80336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,6/16/23,40:45.8,1,3,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.59839,-1.849899,-7.123468,2437.539448,225.321618,01:30,4.89994,2.59805,5.68455,-17.01434,16.08627,15.00343,1.74382,-2.82569,83.97066,-5.088159,-4.47421,0.414085,,,,,,,,,,,,-9.88288,9.10312,-2.00514,50,4.73268,16.12985,-134.63896,-4.91812,-17.86952,33.31679,-15.7145,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,12157090-0c86-11ee-86e8-e178d624069f,91.0259,,,9.62773,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,40:45.8,2023-06-16T16:40:45.7862118-04:00,2023-06-16T20:40:45.7862118Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,ca833913-5551-460b-9cf9-1f5eb4b516b4,54.81032,-135.82408,16.6584,4.89768,-4.35914,-7.85725,-2.5902,16.76548,-8.93476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,6/16/23,41:01.6,1,4,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.685,0.680303,-3.00988,2576.815771,226.845669,01:30,4.858,2.79137,5.52282,-15.9265,17.20328,16.96025,4.16771,1.38821,83.24979,-2.388812,0.007953,0.414267,,,,,,,,,,,,-9.50052,8.75819,-2.54065,50,4.90706,6.29421,-135.47076,1.1243,-17.21936,36.40722,-16.30018,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,1b7a1280-0c86-11ee-86e8-e178d624069f,90.98582,,,10.43521,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,41:01.6,2023-06-16T16:41:01.5876070-04:00,2023-06-16T20:41:01.5876070Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,c965f6a1-bb52-4ffa-a8f3-0552a59f15d3,54.96896,-136.79963,18.20361,4.85516,1.71926,-8.15009,-2.78186,6.92272,-8.60968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,6/16/23,41:15.9,1,5,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.38014,1.418978,-3.650273,2337.748376,81.215019,08:45,4.77616,2.94726,4.63087,-50.71782,-1.73158,-22.82903,1.90138,-2.42931,70.72197,-7.712346,-7.631157,0.503742,,,,,,,,,,,,9.87253,-0.8261,-2.55032,50,4.87592,8.20381,-113.15677,0.91925,12.48704,25.36131,-33.21894,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,24048110-0c86-11ee-86e8-e178d624069f,74.82483,,,7.65817,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,41:15.9,2023-06-16T16:41:15.8514150-04:00,2023-06-16T20:41:15.8514150Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,98e5bbd0-3b9a-4dce-86bc-fdfefcd42924,55.86561,-114.46385,12.68066,4.78443,2.6313,-16.60947,-2.95655,7.56025,6.24352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,6/16/23,41:30.9,1,6,"Bard, Parker",1000098168,Right,YAR_RED,"Humphrey, Jacob",1000119761,Right,HAR_MAR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,HitByPitch,Walk,Undefined,Undefined,0,0,,92.77457,-0.301844,-2.660188,2402.744908,223.734307,01:30,4.80728,2.9004,5.75548,-16.21288,16.98997,15.07954,3.17494,1.67905,83.19441,-3.417504,0.036103,0.414724,,,,,,,,,,,,-8.69642,9.1478,-2.68956,50,4.77287,5.59,-134.45156,-1.20799,-15.61342,34.36749,-15.75025,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,2ce88150-0c86-11ee-86e8-e178d624069f,90.88564,,,9.58016,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,41:30.9,2023-06-16T16:41:30.8639718-04:00,2023-06-16T20:41:30.8639718Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,574f7c33-5d18-4b7e-ae49-d62d5db65905,54.74227,-135.65832,17.18374,4.80557,-0.65494,-7.87512,-2.89547,6.13824,-7.80671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,6/16/23,42:32.9,2,1,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,CaughtStealing,1,0,,77.32046,3.118539,-0.673893,2418.910184,71.297987,08:30,4.75208,2.95836,4.75223,-56.06357,-5.75134,-22.86883,3.0407,0.41351,68.93617,-7.051865,-4.688974,0.510515,,,,,,,,,,,,10.84902,-3.30855,-2.86952,50,5.01668,2.30631,-111.66474,4.00719,13.28467,25.76026,-36.22535,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,51f92ee0-0c86-11ee-86e8-e178d624069f,73.83226,,,8.38429,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,42:32.9,2023-06-16T16:42:32.9180134-04:00,2023-06-16T20:42:32.9180134Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,cae21366-122c-4662-a8bd-6390ba5a649d,55.74307,-112.98186,12.88013,4.76445,5.85938,-18.11268,-2.97007,1.62706,6.64234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,6/16/23,42:48.4,2,2,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.61258,-0.768784,-3.903675,2454.432563,217.66803,01:15,4.83035,2.74583,5.70694,-16.45213,17.11737,12.22261,2.74137,0.12176,82.78982,-3.929338,-1.724845,0.417007,,,,,,,,,,,,-7.47496,9.29146,-2.42594,50,4.75592,8.56834,-133.90724,-2.29457,-13.2987,34.35325,-15.64363,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,5b2a16a0-0c86-11ee-86e8-e178d624069f,90.38794,,,9.82276,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,42:48.4,2023-06-16T16:42:48.3785702-04:00,2023-06-16T20:42:48.3785702Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,84b6daaf-b2d9-4651-b401-9575fb48176d,54.78598,-135.12948,17.17663,4.82765,-1.73799,-7.82181,-2.73921,9.04149,-6.64935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,6/16/23,43:09.4,2,3,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.37356,-0.789178,-6.649375,2525.34156,219.807266,01:15,4.86799,2.58582,5.58482,-14.65568,19.01288,14.69824,2.9047,-2.42664,82.7603,-3.633869,-4.055131,0.417622,,,,,,,,,,,,-9.69938,10.21697,-2.02175,50,4.79065,14.94614,-134.28792,-2.27356,-17.25475,36.06902,-13.99849,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,67bacb30-0c86-11ee-86e8-e178d624069f,90.25487,,,10.61326,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,43:09.4,2023-06-16T16:43:09.4223334-04:00,2023-06-16T20:43:09.4223334Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,bbec25f6-de20-40d1-90da-12c1ee67efed,54.90671,-135.59943,18.03451,4.86406,-1.76456,-6.99925,-2.57662,15.57354,-8.62738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,6/16/23,43:27.3,2,4,"Bard, Parker",1000098168,Right,YAR_RED,"King, Seaver",1000230729,Right,HAR_MAR,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.61103,1.718389,-3.401595,2431.522928,76.371881,08:30,4.74221,2.85709,4.72192,-53.3957,-3.10437,-21.10371,1.92648,-2.13303,69.29201,-7.940824,-7.090964,0.510408,,,,,,,,,,,,9.02363,-1.60146,-2.49342,50,4.86908,7.55608,-111.93532,1.40962,11.04972,26.76029,-34.1351,YAR_RED,HAR_MAR,CCBLYarmouth,Cape Cod Baseball League,CCBL,20230616-CCBLYarmouth-1,7269a060-0c86-11ee-86e8-e178d624069f,73.8476,,,8.31902,,,,,,,ba76ebf7-8de1-4feb-9ca4-49e186ddb7ff,6/16/23,43:27.3,2023-06-16T16:43:27.3040000-04:00,2023-06-16T20:43:27.3040000Z,,v3,,,,"King, Will",1000098174,Right,YAR_RED,8b9c802c-7be3-4b61-9d6f-eb746b264fe4,55.77279,-113.30701,13.38015,4.75198,3.15934,-17.06755,-2.86621,6.98969,5.52486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.95249,2.986547,1.662621,1.323926,0.99256,1.86652,2.18593,-2.91491,4.19932,1.01251,71.38081,8.25505,-53.38957,-2.86266,59.72013,-2.73941,4.3428,22.93259,-15.0512,0.86738,-46.72731,4.3065,High,High,High,,,High,High,High
